,Cluster,i min,i max,j min,j max,x min,x max,y min,y max,LME 1,LME 2,LME 3,LME 4,LME 5,LME 6,LME 7,LME 8
0,Eurasian Arctic,173.0,341.0,1035.0,1206.0,73.0,149.77593994140625,66.73544311523438,85.42584991455078,Laptev_Sea_57,East_Siberian_Sea_56,Kara_Sea_58,,,,,
1,W Canadian Arctic,459.0,700.0,1070.0,1206.0,-163.10487365722656,-107.0,66.78492736816406,81.80632781982422,Canadian_High_Arctic_-_North_Greenland_66,Beaufort_Sea_55,,,,,,
2,E Canadian Arctic,784.0,1074.0,1130.0,1206.0,-107.0,73.0,67.32759857177734,89.94786834716797,Canadian_High_Arctic_-_North_Greenland_66,,,,,,,
3,Bering Sea,341.0,508.0,916.0,1128.0,137.56085205078125,225.11891174316406,49.814353942871094,81.0850830078125,East_Bering_Sea_01,Central_Arctic_64,Aleutian_Islands_65,West_Bering_Sea_53,,,,
4,NE N America,784.0,981.0,874.0,1181.0,-104.10701751708984,-42.41474533081055,42.191776275634766,81.13480377197266,Hudson_Bay_Complex_63,Canadian_Eastern_Arctic_-_West_Greenland_18,Labrador_-_Newfoundland_09,,,,,
5,Nordic Seas,981.0,1161.0,971.0,1135.0,-44.070770263671875,36.7459831237793,57.48870086669922,81.96009826660156,Greenland_Sea_19,Norwegian_Sea_21,Iceland_Shelf_and_Sea_59,,,,,
6,Barents Sea,1084.0,1247.0,1047.0,1207.0,-11.697774887084961,75.2517318725586,63.8900146484375,87.42220306396484,Barents_Sea_20,,,,,,,
7,E Asia,181.0,374.0,772.0,992.0,117.74047088623047,166.0,21.478227615356445,62.442832946777344,Yellow_Sea_48,East_China_Sea_47,Kuroshio_Current_49,Sea_of_Japan_50,Oyashio_Current_51,Sea_of_Okhotsk_52,,
8,NW N America,503.0,657.0,884.0,1004.0,-161.1613311767578,-122.65856170654297,43.24614715576172,61.24073028564453,Gulf_of_Alaska_02,,,,,,,
9,W N America,620.0,725.0,774.0,916.0,-132.25,-106.25,21.942384719848633,47.95118713378906,California_Current_03,Gulf_of_California_04,,,,,,
10,E N America,824.0,928.0,789.0,913.0,-81.26273345947266,-55.500579833984375,25.363283157348633,48.94138717651367,Southeast_U.S._Continental_Shelf_06,Northeast_U.S._Continental_Shelf_07,Scotian_Shelf_08,,,,,
11,NW Europe,1089.0,1234.0,881.0,1052.0,-14.778068542480469,29.794832229614258,42.91387176513672,70.6566162109375,North_Sea_22,Baltic_Sea_23,Celtic-Biscay_Shelf_24,Faroe_Plateau_60,,,,
12,"Med, Ibi, Black Seas",1100.0,1314.0,812.0,929.0,-12.242053985595703,41.53831481933594,30.321430206298828,52.30602264404297,Iberian_Coastal_25,Mediterranean_Sea_26,Black_Sea_62,,,,,
13,SE Asia,106.0,254.0,642.0,786.0,99.25,136.0,-10.441716194152832,24.46359634399414,Gulf_of_Thailand_35,South_China_Sea_36,Sulu-Celebes_Sea_37,Indonesian_Sea_38,,,,
14,C America,688.0,912.0,667.0,813.0,-115.25,-59.5,-4.246108055114746,30.416791915893555,Pacific_Central-American_Coastal_11,Gulf_of_Mexico_05,Caribbean_Sea_12,,,,,
15,NE S America,905.0,1021.0,590.0,733.0,-61.0,-32.25,-22.867542266845703,11.913220405578613,North_Brazil_Shelf_17,East_Brazil_Shelf_16,,,,,,
16,NW Africa,1067.0,1198.0,656.0,839.0,-20.5,12.094148635864258,-6.9826507568359375,35.940879821777344,Canary_Current_27,Guinea_Current_28,,,,,,
17,S Asia,1280.0,122.0,687.0,812.0,32.758888244628906,103.0,0.7499786019325256,29.974891662597656,Red_Sea_33,Arabian_Sea_32,Bay_of_Bengal_34,,,,,
18,"Australia,NZ",146.0,427.0,457.0,653.0,109.25,179.25,-49.24995803833008,-7.974132061004639,Northeast_Australian_Shelf_40,East_Central_Australian_Shelf_41,Southeast_Australian_Shelf_42,South_West_Australian_Shelf_43,West_Central_Australian_Shelf_44,Northwest_Australian_Shelf_45,North_Australian_Shelf_39,New_Zealand_Shelf_46
19,W S America,817.0,888.0,402.0,666.0,-83.0,-65.5,-57.42760467529297,-4.744568347930908,Humboldt_Current_13,,,,,,,
20,SE S America,873.0,996.0,420.0,593.0,-69.0,-38.5,-54.92377471923828,-22.406063079833984,South_Brazil_Shelf_15,Patagonian_Shelf_14,,,,,,
21,SW Africa,1181.0,1227.0,527.0,659.0,8.0,19.25,-36.49747085571289,-6.486102104187012,Benguela_Current_29,,,,,,,
22,E Africa,1222.0,1356.0,525.0,728.0,18.25,51.5,-36.89836502075195,10.687479019165039,Agulhas_Current_30,Somali_Coastal_Current_31,,,,,,
